"Support/Resistance Levels",Price,"Key Turning Points"
"14 Day RSI at 80%",1.369892,
,1.326031,"Price Crosses 9-18 Day Moving Average"
"52-Week High",1.324361,
"14 Day RSI at 70%",1.068367,
"13-Week High",1.017923,
"1-Month High",1.017923,
,0.940026,"61.8% Retracement from the 52 Week Low"
"Pivot Point 3rd Level Resistance",0.935281,
,0.927540,"14-3 Day Raw Stochastic at 80%"
,0.921845,"38.2% Retracement From 4 Week High"
,0.909517,"14-3 Day Raw Stochastic at 70%"
"Pivot Point 2nd Level Resistance",0.901920,
,0.901375,"Price Crosses 18 Day Moving Average Stalls"
"Price 3 Standard Deviations Resistance",0.900129,
"Price 2 Standard Deviations Resistance",0.893001,
,0.892167,"50% Retracement From 4 Week High/Low"
"Price 1 Standard Deviation Resistance",0.883712,
"Pivot Point 1st Resistance Point",0.881603,
,0.873471,"14-3 Day Raw Stochastic at 50%"
,0.868007,"3-10 Day Moving Average Crossover Stalls"
High,0.867326,High
Last,0.866985,Last
,0.865789,"Price Crosses 9 Day Moving Average Stalls"
"Target Price",0.865171,
,0.862489,"38.2% Retracement From 4 Week Low"
"Previous Close",0.860232,"Previous Close"
Low,0.859758,Low
,0.858150,"Price Crosses 18 Day Moving Average"
,0.848242,"Pivot Point"
"Price 1 Standard Deviation Support",0.838860,
,0.837426,"14-3 Day Raw Stochastic at 30%"
"Price 2 Standard Deviations Support",0.829571,
,0.828907,"Price Crosses 9 Day Moving Average"
"Pivot Point 1st Support Point",0.827925,
,0.827148,"14 Day RSI at 50%"
,0.825123,"Price Crosses 40 Day Moving Average"
,0.824311,"38.2% Retracement From 13 Week High"
"Price 3 Standard Deviations Support",0.822443,
,0.821305,"50% Retracement From 52 Week High/Low"
,0.819403,"14-3 Day Raw Stochastic at 20%"
,0.810465,"14 Day %k Stochastic Stalls"
"Pivot Point 2nd Support Point",0.794564,
,0.786058,"Price Crosses 9-40 Day Moving Average"
"Pivot Point 3rd Support Point",0.774247,
"1-Month Low",0.766411,
,0.764504,"50% Retracement From 13 Week High/Low"
,0.756994,"3-10-16 Day MACD Moving Average Stalls"
,0.726711,"Price Crosses 40 Day Moving Average Stalls"
,0.704697,"38.2% Retracement From 13 Week Low"
,0.702584,"38.2% Retracement From 52 Week Low"
"14 Day RSI at 30%",0.540411,
"13-Week Low",0.511085,
"52-Week Low",0.318249,
"14 Day RSI at 20%",0.181990,
,N/A,"14 Day %d Stochastic Stalls"
,N/A,"Price Crosses 18-40 Day Moving Average"
"Downloaded from Barchart.com as of 09-08-2025 05:19pm CDT"
