"Support/Resistance Levels",Price,"Key Turning Points"
"14 Day RSI at 80%","1.369892",
,"1.326031","Price Crosses 9-18 Day Moving Average"
"52-Week High","1.324361",
"14 Day RSI at 70%","1.068367",
"13-Week High","1.017923",
"1-Month High","1.017923",
,"0.940026","61.8% Retracement from the 52 Week Low"
"Pivot Point 3rd Level Resistance","0.935281",
,"0.927540","14-3 Day Raw Stochastic at 80%"
"Price 3 Standard Deviations Resistance","0.900100",
High,"0.901900",High
"Price 2 Standard Deviations Resistance","0.883700",
"Pivot Point 2nd Level Resistance","0.881600",
,"0.867300","50% Retracement From 4 Week High/Low"
Last,"0.867300",Last
"Price 1 Standard Deviation Resistance","0.867300",
"Pivot Point 1st Resistance Point","0.867300",
,"0.860200","3-10 Day Moving Average Crossover Stalls"
"Target Price","0.860200",
,"0.859800","14-3 Day Raw Stochastic at 30%"
"Previous Close","0.859800","Previous Close"
Low,"0.859800",Low
,"0.838900","38.2% Retracement From 4 Week Low"
,"0.823000","Pivot Point"
,"0.810000","Price Crosses 18 Day Moving Average"
,"0.780000","14 Day %k Stochastic Stalls"
,"0.766400","14-3 Day Raw Stochastic at 20%"
,"0.750000","Price Crosses 9 Day Moving Average"
"Pivot Point 1st Support Point","0.750000",
"Price 1 Standard Deviation Support","0.750000",
"Price 2 Standard Deviations Support","0.750000",
,"0.700000","Price Crosses 9 Day Moving Average Stalls"
"Pivot Point 2nd Support Point","0.700000",
"Price 3 Standard Deviations Support","0.700000",
,"0.650000","14 Day RSI at 50%"
,"0.600000","3-10-16 Day MACD Moving Average Stalls"
"Pivot Point 3rd Support Point","0.600000",
,"0.550000","Price Crosses 18 Day Moving Average Stalls"
,"0.511100","Price Crosses 40 Day Moving Average"
"1-Month Low","0.511100",
,"0.500000","38.2% Retracement From 13 Week High"
,"0.450000","61.8% Retracement from the 52 Week Low"
,"0.400000","50% Retracement From 13 Week High/Low"
,"0.350000","Price Crosses 40 Day Moving Average Stalls"
,"0.318200","38.2% Retracement From 13 Week Low"
,"0.300000","50% Retracement From 52 Week High/Low"
"14 Day RSI at 30%","0.300000",
,"0.250000","38.2% Retracement From 52 Week Low"
"13-Week Low","0.250000",
,"0.200000","Price Crosses 9-40 Day Moving Average"
"14 Day RSI at 20%","0.200000",
"52-Week Low","0.182000",
"2021 All-Time High","3.100000",
"2021 Q4 High","2.500000",
"2021 Q3 High","2.000000",
"2021 Q2 High","1.500000",
"2021 Q1 High","1.200000",
"2020 Q4 High","1.000000",
"2020 Q3 High","0.800000",
"2020 Q2 High","0.600000",
"2020 Q1 High","0.400000",
"2019 Q4 High","0.300000",
"2019 Q3 High","0.250000",
"2019 Q2 High","0.200000",
"2019 Q1 High","0.150000",
"2018 Q4 Low","0.100000",
"2018 Q1 High","1.500000",
"2017 Q4 High","1.200000",
"2017 Q3 High","1.000000",
"2017 Q2 High","0.800000",
"2017 Q1 High","0.600000",
"2016 Q4 High","0.400000",
"2016 Q3 High","0.300000",
"2016 Q2 High","0.200000",
"2016 Q1 High","0.150000",
"2015 Q4 High","0.100000",
"2015 Q3 High","0.080000",
"2015 Q2 High","0.060000",
"2015 Q1 High","0.040000",
"2014 Q4 High","0.020000",
"2014 Q3 High","0.015000",
"2014 Q2 High","0.010000",
"2014 Q1 High","0.008000",
"2013 Q4 High","0.005000",
"2013 Q3 High","0.003000",
"2013 Q2 High","0.002000",
"2013 Q1 High","0.001000",
"2012 Q4 High","0.000500",
"2012 Q3 High","0.000300",
"2012 Q2 High","0.000200",
"2012 Q1 High","0.000100",
"2011 Q4 High","0.000050",
"2011 Q3 High","0.000030",
"2011 Q2 High","0.000020",
"2011 Q1 High","0.000010",
"2010 Q4 High","0.000005",
"2010 Q3 High","0.000003",
"2010 Q2 High","0.000002",
"2010 Q1 High","0.000001",
