"Support/Resistance Levels",Price,"Key Turning Points"
"14 Day RSI at 80%","6,287.523",
,"5,282.471","Price Crosses 9-18 Day Moving Average"
"14 Day RSI at 70%","5,142.954",
"52-Week High","4,953.929",
"13-Week High","4,953.929",
"1-Month High","4,953.929",
,"4,809.849","14-3 Day Raw Stochastic at 80%"
,"4,737.810","14-3 Day Raw Stochastic at 70%"
,"4,616.863","38.2% Retracement From 4 Week High"
"Pivot Point 3rd Level Resistance","4,616.311",
,"4,593.729","14-3 Day Raw Stochastic at 50%"
"Price 3 Standard Deviations Resistance","4,578.206",
High,"4,559.375",High
"Price 2 Standard Deviations Resistance","4,548.828",
"Pivot Point 2nd Level Resistance","4,541.748",
,"4,512.743","50% Retracement From 4 Week High/Low"
Last,"4,512.499",Last
"Price 1 Standard Deviation Resistance","4,510.543",
"Pivot Point 1st Resistance Point","4,479.931",
,"4,462.357","3-10 Day Moving Average Crossover Stalls"
"Target Price","4,450.008",
,"4,449.650","14-3 Day Raw Stochastic at 30%"
"Previous Close","4,418.115","Previous Close"
Low,"4,417.493",Low
,"4,408.624","38.2% Retracement From 4 Week Low"
,"4,405.369","Pivot Point"
,"4,401.850","Price Crosses 18 Day Moving Average"
,"4,397.296","14 Day %k Stochastic Stalls"
,"4,377.610","14-3 Day Raw Stochastic at 20%"
,"4,346.811","Price Crosses 9 Day Moving Average"
"Pivot Point 1st Support Point","4,343.552",
"Price 1 Standard Deviation Support","4,325.687",
"Price 2 Standard Deviations Support","4,287.401",
,"4,283.025","Price Crosses 9 Day Moving Average Stalls"
"Pivot Point 2nd Support Point","4,268.989",
"Price 3 Standard Deviations Support","4,258.024",
,"4,227.298","14 Day RSI at 50%"
,"4,217.887","3-10-16 Day MACD Moving Average Stalls"
"Pivot Point 3rd Support Point","4,207.172",
,"4,157.219","Price Crosses 18 Day Moving Average Stalls"
,"4,149.317","Price Crosses 40 Day Moving Average"
"1-Month Low","4,071.558",
,"3,872.864","38.2% Retracement From 13 Week High"
,"3,593.548","61.8% Retracement from the 52 Week Low"
,"3,538.922","50% Retracement From 13 Week High/Low"
,"3,521.229","Price Crosses 40 Day Moving Average Stalls"
,"3,204.981","38.2% Retracement From 13 Week Low"
,"3,173.326","50% Retracement From 52 Week High/Low"
"14 Day RSI at 30%","3,057.220",
,"2,753.104","38.2% Retracement From 52 Week Low"
"13-Week Low","2,123.916",
,"2,110.671","Price Crosses 9-40 Day Moving Average"
"14 Day RSI at 20%","1,594.623",
"52-Week Low","1,392.723",
,N/A,"14 Day %d Stochastic Stalls"
,N/A,"Price Crosses 18-40 Day Moving Average"
"Downloaded from Barchart.com as of 09-12-2025 05:33am CDT"
