"Support/Resistance Levels",Price,"Key Turning Points"
"14 Day RSI at 80%","6287.523",
,"5282.471","Price Crosses 9-18 Day Moving Average"
"14 Day RSI at 70%","5142.954",
"52-Week High","4953.929",
"13-Week High","4953.929",
"1-Month High","4953.929",
,"4809.849","14-3 Day Raw Stochastic at 80%"
,"4737.810","14-3 Day Raw Stochastic at 70%"
,"4616.863","38.2% Retracement From 4 Week High"
"Pivot Point 3rd Level Resistance","4616.311",
,"4593.729","14-3 Day Raw Stochastic at 50%"
"Price 3 Standard Deviations Resistance","4578.206",
High,"4559.375",High
"Price 2 Standard Deviations Resistance","4548.828",
"Pivot Point 2nd Level Resistance","4541.748",
,"4512.743","50% Retracement From 4 Week High/Low"
Last,"4512.499",Last
"Price 1 Standard Deviation Resistance","4510.543",
"Pivot Point 1st Resistance Point","4479.931",
,"4462.357","3-10 Day Moving Average Crossover Stalls"
"Target Price","4450.008",
,"4449.650","14-3 Day Raw Stochastic at 30%"
"Previous Close","4418.115","Previous Close"
Low,"4417.493",Low
,"4408.624","38.2% Retracement From 4 Week Low"
,"4405.369","Pivot Point"
,"4401.850","Price Crosses 18 Day Moving Average"
,"4397.296","14 Day %k Stochastic Stalls"
,"4377.610","14-3 Day Raw Stochastic at 20%"
,"4346.811","Price Crosses 9 Day Moving Average"
"Pivot Point 1st Support Point","4343.552",
"Price 1 Standard Deviation Support","4325.687",
"Price 2 Standard Deviations Support","4287.401",
,"4283.025","Price Crosses 9 Day Moving Average Stalls"
"Pivot Point 2nd Support Point","4268.989",
"Price 3 Standard Deviations Support","4258.024",
,"4227.298","14 Day RSI at 50%"
,"4217.887","3-10-16 Day MACD Moving Average Stalls"
"Pivot Point 3rd Support Point","4207.172",
,"4157.219","Price Crosses 18 Day Moving Average Stalls"
,"4149.317","Price Crosses 40 Day Moving Average"
"1-Month Low","4071.558",
,"3872.864","38.2% Retracement From 13 Week High"
,"3593.548","61.8% Retracement from the 52 Week Low"
,"3538.922","50% Retracement From 13 Week High/Low"
,"3521.229","Price Crosses 40 Day Moving Average Stalls"
,"3204.981","38.2% Retracement From 13 Week Low"
,"3173.326","50% Retracement From 52 Week High/Low"
"14 Day RSI at 30%","3057.220",
,"2753.104","38.2% Retracement From 52 Week Low"
"13-Week Low","2123.916",
,"2110.671","Price Crosses 9-40 Day Moving Average"
"14 Day RSI at 20%","1594.623",
"52-Week Low","1392.723",
"2021 All-Time High","4878.260",
"2021 Q4 High","4600.000",
"2021 Q3 High","4000.000",
"2021 Q2 High","3500.000",
"2021 Q1 High","3000.000",
"2020 Q4 High","2500.000",
"2020 Q3 High","2000.000",
"2020 Q2 High","1500.000",
"2020 Q1 High","1000.000",
"2019 Q4 High","800.000",
"2019 Q3 High","600.000",
"2019 Q2 High","500.000",
"2019 Q1 High","400.000",
"2018 Q4 Low","300.000",
"2018 Q1 High","2000.000",
"2017 Q4 High","1500.000",
"2017 Q3 High","1000.000",
"2017 Q2 High","800.000",
"2017 Q1 High","600.000",
"2016 Q4 High","400.000",
"2016 Q3 High","300.000",
"2016 Q2 High","200.000",
"2016 Q1 High","150.000",
"2015 Q4 High","100.000",
"2015 Q3 High","80.000",
"2015 Q2 High","60.000",
"2015 Q1 High","40.000",
"2014 Q4 High","20.000",
"2014 Q3 High","15.000",
"2014 Q2 High","10.000",
"2014 Q1 High","8.000",
"2013 Q4 High","5.000",
"2013 Q3 High","3.000",
"2013 Q2 High","2.000",
"2013 Q1 High","1.000",
"2012 Q4 High","0.500",
"2012 Q3 High","0.300",
"2012 Q2 High","0.200",
"2012 Q1 High","0.100",
"2011 Q4 High","0.050",
"2011 Q3 High","0.030",
"2011 Q2 High","0.020",
"2011 Q1 High","0.010",
"2010 Q4 High","0.005",
"2010 Q3 High","0.003",
"2010 Q2 High","0.002",
"2010 Q1 High","0.001",
